country,code,high_exposure_pool,share_55_64_pct,cohort_55_64,cohort_45_54,statutory_age_2025,statutory_age_2035,offset_2030,offset_2035_low,offset_2035,offset_2035_high
EU-27,EU27,38720000,21.0,8149011,13038417,65.0,66.0,3590000,7740000,8150000,9450000
Germany,DE,8350000,21.9,1827634,2924215,66.0,67.0,800000,1740000,1830000,2120000
France,FR,5820000,20.2,1175882,1881411,64.0,64.0,520000,1120000,1180000,1360000
Italy,IT,4350000,25.7,1116911,1787057,67.0,67.3,490000,1060000,1120000,1300000
Spain,ES,3950000,22.7,897822,1436515,66.5,67.0,400000,850000,900000,1040000
United Kingdom,UK,6450000,20.8,1343892,2150227,66.0,67.0,590000,1280000,1340000,1560000
Austria,AT,880000,21.5,188908,302254,62.5,65.0,80000,180000,190000,220000
Switzerland,CH,940000,22.5,211680,338689,65.0,65.0,90000,200000,210000,250000
